#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 02 10 06 20 220  3.0  3.0   1.0    11   7.5 279 1021.8  15.2  14.1    MM   MM   MM    MM
2023 02 10 06 10 230  3.0  4.0    MM    MM    MM  MM 1021.9  15.2  14.1    MM   MM   MM    MM
2023 02 10 06 00 220  3.0  4.0    MM    MM    MM  MM 1021.9  15.0  14.1    MM   MM +0.4    MM
2023 02 10 05 50 220  3.0  3.0   1.0    12   7.6 271 1021.9  14.9  14.1    MM   MM   MM    MM
2023 02 10 05 40 200  2.0  3.0   1.0    MM   7.6 271 1021.9  14.6  14.1    MM   MM   MM    MM
2023 02 10 05 30 170  2.0  3.0    MM    MM    MM  MM 1021.9  14.4  14.1    MM   MM   MM    MM
2023 02 10 05 20 160  2.0  3.0   1.0    12   7.4 268 1021.9  14.3  14.1    MM   MM   MM    MM
2023 02 10 05 10 180  2.0  2.0   1.0    MM   7.4 268 1021.9  14.4  14.1    MM   MM   MM    MM
2023 02 10 05 00 210  2.0  2.0    MM    MM    MM  MM 1021.7  14.4  14.1    MM   MM +0.4    MM
2023 02 10 04 50 200  2.0  3.0   1.0    11   7.4 277 1021.7  14.4  14.1    MM   MM   MM    MM
2023 02 10 04 40 210  2.0  3.0    MM    MM    MM  MM 1021.6  14.5  14.1    MM   MM   MM    MM
2023 02 10 04 30 220  3.0  3.0    MM    MM    MM  MM 1021.6  14.4  14.1    MM   MM   MM    MM
2023 02 10 04 20 210  2.0  3.0   1.1    15   8.0 266 1021.6  14.4  14.1    MM   MM   MM    MM
2023 02 10 04 10 210  2.0  3.0   1.1    MM   8.0 266 1021.5  14.5  14.1    MM   MM   MM    MM
2023 02 10 04 00 210  2.0  3.0    MM    MM    MM  MM 1021.5  14.5  14.1    MM   MM +0.5    MM
2023 02 10 03 50 220  2.0  3.0   1.1    12   7.5 270 1021.5  14.5  14.1    MM   MM   MM    MM
2023 02 10 03 40 220  2.0  3.0    MM    MM    MM  MM 1021.4  14.6  14.1    MM   MM   MM    MM
2023 02 10 03 30 230  3.0  3.0    MM    MM    MM  MM 1021.5  14.6  14.1    MM   MM   MM    MM
2023 02 10 03 20 240  3.0  4.0   1.1    16   7.5 292 1021.3  14.6  14.1    MM   MM   MM    MM
2023 02 10 03 10 230  3.0  4.0   1.1    MM   7.5 292 1021.4  14.6  14.1    MM   MM   MM    MM
2023 02 10 03 00 230  3.0  4.0    MM    MM    MM  MM 1021.4  14.7  14.1    MM   MM +0.3    MM
2023 02 10 02 50 230  3.0  4.0   1.1    12   7.6 283 1021.4  14.7  14.1    MM   MM   MM    MM
2023 02 10 02 40 230  3.0  4.0    MM    MM    MM  MM 1021.4  14.8  14.1    MM   MM   MM    MM
2023 02 10 02 30 240  3.0  3.0    MM    MM    MM  MM 1021.3  15.0  14.1    MM   MM   MM    MM
2023 02 10 02 20 230  3.0  3.0   1.1    12   7.5 265 1021.2  14.8  14.1    MM   MM   MM    MM
2023 02 10 02 10 240  3.0  3.0   1.1    MM   7.5 265 1021.2  14.9  14.1    MM   MM   MM    MM
2023 02 10 02 00 250  3.0  4.0    MM    MM    MM  MM 1021.2  15.0  14.2    MM   MM +0.0    MM
2023 02 10 01 50 270  3.0  3.0   1.1    11   7.7 272 1021.1  15.1  14.2    MM   MM   MM    MM
2023 02 10 01 40 270  3.0  4.0    MM    MM    MM  MM 1021.1  15.1  14.1    MM   MM   MM    MM
2023 02 10 01 30 270  3.0  4.0    MM    MM    MM  MM 1021.1  15.2  14.2    MM   MM   MM    MM
2023 02 10 01 20 270  4.0  4.0   1.1    12   7.5 270 1021.0  15.2  14.2    MM   MM   MM    MM
2023 02 10 01 10 260  4.0  5.0   1.1    MM   7.5 270 1021.0  15.2  14.2    MM   MM   MM    MM
2023 02 10 01 00 250  4.0  5.0    MM    MM    MM  MM 1020.9  15.2  14.3    MM   MM -0.4    MM
2023 02 10 00 50 240  4.0  5.0   1.0    12   7.5 260 1021.0  15.3  14.4    MM   MM   MM    MM
2023 02 10 00 40 250  4.0  5.0    MM    MM    MM  MM 1021.0  15.5  14.4    MM   MM   MM    MM
2023 02 10 00 30 260  3.0  4.0    MM    MM    MM  MM 1021.0  15.6  14.5    MM   MM   MM    MM
2023 02 10 00 20 250  3.0  4.0   1.0    11   7.6 265 1021.0  15.6  14.5    MM   MM   MM    MM
2023 02 10 00 10 250  3.0  4.0   1.0    MM   7.6 265 1021.0  15.6  14.5    MM   MM   MM    MM
2023 02 10 00 00 240  3.0  4.0    MM    MM    MM  MM 1021.0  15.7  14.5    MM   MM -0.7    MM
2023 02 09 23 50 240  2.0  3.0   1.1    12   7.8 267 1020.9  15.7  14.5    MM   MM   MM    MM
2023 02 09 23 40 250  3.0  3.0    MM    MM    MM  MM 1021.0  15.9  14.4    MM   MM   MM    MM
2023 02 09 23 20 280  2.0  3.0   1.1    12   7.7 249 1021.0  16.2  14.3    MM   MM   MM    MM
2023 02 09 23 10 290  2.0  3.0   1.1    MM   7.7 249 1021.0  16.4  14.3    MM   MM   MM    MM
2023 02 09 23 00 310  2.0  3.0    MM    MM    MM  MM 1021.1  16.5  14.4    MM   MM -1.2    MM
2023 02 09 22 50 320  2.0  3.0   1.1    12   7.6 275 1021.1  16.3  14.5    MM   MM   MM    MM
2023 02 09 22 40 320  2.0  3.0    MM    MM    MM  MM 1021.2  16.0  14.5    MM   MM   MM    MM
2023 02 09 22 30 310  2.0  3.0    MM    MM    MM  MM 1021.3  15.9  14.4    MM   MM   MM    MM
2023 02 09 22 20 300  3.0  3.0   1.1    12   7.5 272 1021.3  15.9  14.5    MM   MM   MM    MM
2023 02 09 22 10 320  3.0  4.0   1.1    MM   7.5 272 1021.3  16.0  14.5    MM   MM   MM    MM
2023 02 09 22 00 320  3.0  4.0    MM    MM    MM  MM 1021.3  15.8  14.5    MM   MM -1.4    MM
2023 02 09 21 50 320  3.0  4.0   1.1    11   7.7 272 1021.4  15.6  14.4    MM   MM   MM    MM
2023 02 09 21 40 330  3.0  4.0    MM    MM    MM  MM 1021.4  15.5  14.4    MM   MM   MM    MM
2023 02 09 21 30 320  3.0  4.0    MM    MM    MM  MM 1021.5  15.5  14.4    MM   MM   MM    MM
2023 02 09 21 20 320  3.0  4.0   1.1    12   7.4 259 1021.6  15.4  14.3    MM   MM   MM    MM
